,Trend Direction,Start Date,End Date
244,Bearish,26 Sep 1986,07 Oct 1986
245,Bullish,07 Oct 1986,07 Nov 1986
246,No Trend,07 Nov 1986,13 Nov 1986
247,Bullish,13 Nov 1986,17 Nov 1986
248,Bearish,17 Nov 1986,24 Nov 1986
249,Bullish,24 Nov 1986,12 Dec 1986
250,Bearish,12 Dec 1986,05 Jan 1987
251,Bullish,05 Jan 1987,14 Jan 1987
252,No Trend,14 Jan 1987,26 Jan 1987
253,Bullish,26 Jan 1987,30 Mar 1987
254,Bearish,30 Mar 1987,03 Apr 1987
255,Bullish,03 Apr 1987,09 Apr 1987
256,Bearish,09 Apr 1987,04 May 1987
257,Bullish,04 May 1987,14 May 1987
258,No Trend,14 May 1987,15 May 1987
259,Bearish,15 May 1987,28 May 1987
260,Bullish,28 May 1987,09 Jun 1987
261,No Trend,09 Jun 1987,24 Jun 1987
262,Bullish,24 Jun 1987,25 Jun 1987
263,No Trend,25 Jun 1987,26 Jun 1987
264,Bullish,26 Jun 1987,01 Jul 1987
265,Bearish,01 Jul 1987,02 Jul 1987
266,Bullish,02 Jul 1987,06 Jul 1987
267,Bearish,06 Jul 1987,07 Jul 1987
268,Bullish,07 Jul 1987,23 Jul 1987
269,Bearish,23 Jul 1987,27 Jul 1987
270,Bullish,27 Jul 1987,10 Aug 1987
271,No Trend,10 Aug 1987,18 Aug 1987
272,Bullish,18 Aug 1987,28 Aug 1987
273,Bearish,28 Aug 1987,24 Sep 1987
274,Bullish,24 Sep 1987,07 Oct 1987
275,Bearish,07 Oct 1987,16 Oct 1987
276,No Trend,16 Oct 1987,21 Oct 1987
277,Bearish,21 Oct 1987,14 Dec 1987
278,Bullish,14 Dec 1987,11 Jan 1988
279,Bearish,11 Jan 1988,18 Jan 1988
280,Bullish,18 Jan 1988,20 Jan 1988
281,Bearish,20 Jan 1988,25 Jan 1988
282,Bullish,25 Jan 1988,08 Feb 1988
283,Bearish,08 Feb 1988,10 Feb 1988
284,Bullish,10 Feb 1988,24 Mar 1988
285,Bearish,24 Mar 1988,07 Apr 1988
286,Bullish,07 Apr 1988,15 Apr 1988
287,Bearish,15 Apr 1988,26 Apr 1988
288,Bullish,26 Apr 1988,04 May 1988
289,Bearish,04 May 1988,31 May 1988
290,Bullish,31 May 1988,08 Jun 1988
291,No Trend,08 Jun 1988,09 Jun 1988
292,Bullish,09 Jun 1988,13 Jun 1988
293,No Trend,13 Jun 1988,16 Jun 1988
294,Bullish,16 Jun 1988,08 Jul 1988
295,Bearish,08 Jul 1988,29 Jul 1988
296,Bullish,29 Jul 1988,09 Aug 1988
297,Bearish,09 Aug 1988,22 Aug 1988
298,No Trend,22 Aug 1988,24 Aug 1988
299,Bearish,24 Aug 1988,30 Aug 1988
300,Bullish,30 Aug 1988,01 Sep 1988
