,Trend Direction,Start Date,End Date
1124,Bullish,02 Jan 2013,18 Jan 2013
1125,No Trend,18 Jan 2013,23 Jan 2013
1126,Bullish,23 Jan 2013,24 Jan 2013
1127,No Trend,24 Jan 2013,31 Jan 2013
1128,Bullish,31 Jan 2013,21 Feb 2013
1129,Bearish,21 Feb 2013,01 Mar 2013
1130,Bullish,01 Mar 2013,15 Mar 2013
1131,No Trend,15 Mar 2013,19 Mar 2013
1132,Bullish,19 Mar 2013,05 Apr 2013
1133,Bearish,05 Apr 2013,08 Apr 2013
1134,Bullish,08 Apr 2013,17 Apr 2013
1135,Bearish,17 Apr 2013,23 Apr 2013
1136,Bullish,23 Apr 2013,08 May 2013
1137,No Trend,08 May 2013,09 May 2013
1138,Bullish,09 May 2013,14 May 2013
1139,No Trend,14 May 2013,16 May 2013
1140,Bullish,16 May 2013,21 May 2013
1141,No Trend,21 May 2013,22 May 2013
1142,Bullish,22 May 2013,31 May 2013
1143,Bearish,31 May 2013,18 Jun 2013
1144,Bullish,18 Jun 2013,20 Jun 2013
1145,Bearish,20 Jun 2013,03 Jul 2013
1146,Bullish,03 Jul 2013,11 Jul 2013
1147,No Trend,11 Jul 2013,29 Jul 2013
1148,Bullish,29 Jul 2013,12 Aug 2013
1149,Bearish,12 Aug 2013,21 Aug 2013
1150,No Trend,21 Aug 2013,22 Aug 2013
1151,Bearish,22 Aug 2013,06 Sep 2013
1152,Bullish,06 Sep 2013,17 Sep 2013
1153,No Trend,17 Sep 2013,23 Sep 2013
1154,Bullish,23 Sep 2013,30 Sep 2013
1155,Bearish,30 Sep 2013,11 Oct 2013
1156,Bullish,11 Oct 2013,28 Oct 2013
1157,No Trend,28 Oct 2013,30 Oct 2013
1158,Bullish,30 Oct 2013,05 Dec 2013
1159,Bearish,05 Dec 2013,06 Dec 2013
1160,Bullish,06 Dec 2013,11 Dec 2013
1161,Bearish,11 Dec 2013,18 Dec 2013
1162,Bullish,18 Dec 2013,23 Jan 2014
1163,Bearish,23 Jan 2014,11 Feb 2014
1164,Bullish,11 Feb 2014,24 Feb 2014
1165,No Trend,24 Feb 2014,03 Mar 2014
1166,Bullish,03 Mar 2014,14 Mar 2014
1167,Bearish,14 Mar 2014,18 Mar 2014
1168,Bullish,18 Mar 2014,26 Mar 2014
1169,Bearish,26 Mar 2014,31 Mar 2014
1170,Bullish,31 Mar 2014,07 Apr 2014
1171,Bearish,07 Apr 2014,17 Apr 2014
1172,Bullish,17 Apr 2014,20 May 2014
1173,Bearish,20 May 2014,21 May 2014
1174,Bullish,21 May 2014,05 Jun 2014
1175,No Trend,05 Jun 2014,12 Jun 2014
1176,Bullish,12 Jun 2014,03 Jul 2014
1177,No Trend,03 Jul 2014,07 Jul 2014
1178,Bullish,07 Jul 2014,17 Jul 2014
1179,Bearish,17 Jul 2014,18 Jul 2014
1180,Bullish,18 Jul 2014,30 Jul 2014
1181,Bearish,30 Jul 2014,14 Aug 2014
1182,Bullish,14 Aug 2014,25 Aug 2014
1183,No Trend,25 Aug 2014,08 Sep 2014
1184,Bullish,08 Sep 2014,12 Sep 2014
1185,Bearish,12 Sep 2014,17 Sep 2014
1186,Bullish,17 Sep 2014,23 Sep 2014
1187,Bearish,23 Sep 2014,22 Oct 2014
1188,Bullish,22 Oct 2014,31 Oct 2014
1189,No Trend,31 Oct 2014,28 Nov 2014
1190,Bullish,28 Nov 2014,10 Dec 2014
1191,Bearish,10 Dec 2014,19 Dec 2014
1192,Bullish,19 Dec 2014,05 Jan 2015
1193,Bearish,05 Jan 2015,22 Jan 2015
1194,Bullish,22 Jan 2015,28 Jan 2015
1195,Bearish,28 Jan 2015,03 Feb 2015
1196,Bullish,03 Feb 2015,20 Feb 2015
1197,No Trend,20 Feb 2015,24 Feb 2015
1198,Bullish,24 Feb 2015,25 Feb 2015
1199,No Trend,25 Feb 2015,26 Feb 2015
1200,Bullish,26 Feb 2015,02 Mar 2015
1201,No Trend,02 Mar 2015,03 Mar 2015
1202,Bullish,03 Mar 2015,06 Mar 2015
1203,Bearish,06 Mar 2015,18 Mar 2015
1204,Bullish,18 Mar 2015,25 Mar 2015
1205,Bearish,25 Mar 2015,08 Apr 2015
1206,Bullish,08 Apr 2015,30 Apr 2015
1207,Bearish,30 Apr 2015,01 May 2015
1208,Bullish,01 May 2015,05 May 2015
1209,Bearish,05 May 2015,08 May 2015
1210,Bullish,08 May 2015,13 May 2015
1211,Bearish,13 May 2015,14 May 2015
1212,Bullish,14 May 2015,29 May 2015
1213,Bearish,29 May 2015,18 Jun 2015
1214,Bullish,18 Jun 2015,26 Jun 2015
1215,Bearish,26 Jun 2015,13 Jul 2015
1216,Bullish,13 Jul 2015,24 Jul 2015
1217,Bearish,24 Jul 2015,30 Jul 2015
1218,Bullish,30 Jul 2015,04 Aug 2015
1219,Bearish,04 Aug 2015,17 Aug 2015
1220,Bullish,17 Aug 2015,19 Aug 2015
1221,Bearish,19 Aug 2015,24 Aug 2015
1222,No Trend,24 Aug 2015,26 Aug 2015
1223,Bearish,26 Aug 2015,15 Sep 2015
1224,Bullish,15 Sep 2015,22 Sep 2015
1225,Bearish,22 Sep 2015,05 Oct 2015
1226,Bullish,05 Oct 2015,16 Oct 2015
1227,No Trend,16 Oct 2015,21 Oct 2015
1228,Bullish,21 Oct 2015,03 Nov 2015
1229,No Trend,03 Nov 2015,04 Nov 2015
1230,Bullish,04 Nov 2015,12 Nov 2015
1231,Bearish,12 Nov 2015,19 Nov 2015
1232,Bullish,19 Nov 2015,03 Dec 2015
1233,Bearish,03 Dec 2015,24 Dec 2015
1234,Bullish,24 Dec 2015,04 Jan 2016
1235,Bearish,04 Jan 2016,20 Jan 2016
1236,No Trend,20 Jan 2016,22 Jan 2016
1237,Bearish,22 Jan 2016,29 Jan 2016
1238,Bullish,29 Jan 2016,05 Feb 2016
1239,Bearish,05 Feb 2016,17 Feb 2016
1240,Bullish,17 Feb 2016,03 Mar 2016
1241,No Trend,03 Mar 2016,04 Mar 2016
1242,Bullish,04 Mar 2016,18 Mar 2016
1243,No Trend,18 Mar 2016,21 Mar 2016
1244,Bullish,21 Mar 2016,29 Mar 2016
1245,No Trend,29 Mar 2016,31 Mar 2016
1246,Bullish,31 Mar 2016,11 Apr 2016
1247,Bearish,11 Apr 2016,12 Apr 2016
1248,Bullish,12 Apr 2016,29 Apr 2016
1249,Bearish,29 Apr 2016,24 May 2016
1250,Bullish,24 May 2016,07 Jun 2016
1251,No Trend,07 Jun 2016,10 Jun 2016
1252,Bullish,10 Jun 2016,13 Jun 2016
1253,Bearish,13 Jun 2016,23 Jun 2016
1254,Bullish,23 Jun 2016,24 Jun 2016
1255,Bearish,24 Jun 2016,01 Jul 2016
1256,Bullish,01 Jul 2016,18 Jul 2016
1257,No Trend,18 Jul 2016,21 Jul 2016
1258,Bullish,21 Jul 2016,25 Jul 2016
1259,No Trend,25 Jul 2016,28 Jul 2016
1260,Bullish,28 Jul 2016,25 Aug 2016
1261,Bearish,25 Aug 2016,06 Sep 2016
1262,Bullish,06 Sep 2016,09 Sep 2016
1263,Bearish,09 Sep 2016,22 Sep 2016
1264,Bullish,22 Sep 2016,04 Oct 2016
1265,Bearish,04 Oct 2016,05 Oct 2016
1266,Bullish,05 Oct 2016,07 Oct 2016
1267,Bearish,07 Oct 2016,10 Oct 2016
1268,Bullish,10 Oct 2016,11 Oct 2016
1269,Bearish,11 Oct 2016,24 Oct 2016
1270,Bullish,24 Oct 2016,26 Oct 2016
1271,Bearish,26 Oct 2016,09 Nov 2016
1272,Bullish,09 Nov 2016,22 Nov 2016
1273,No Trend,22 Nov 2016,28 Nov 2016
1274,Bullish,28 Nov 2016,09 Dec 2016
1275,No Trend,09 Dec 2016,12 Dec 2016
1276,Bullish,12 Dec 2016,30 Dec 2016
1277,Bearish,30 Dec 2016,04 Jan 2017
1278,Bullish,04 Jan 2017,23 Jan 2017
1279,Bearish,23 Jan 2017,24 Jan 2017
1280,Bullish,24 Jan 2017,17 Feb 2017
1281,No Trend,17 Feb 2017,02 Mar 2017
1282,Bullish,02 Mar 2017,21 Mar 2017
1283,Bearish,21 Mar 2017,30 Mar 2017
1284,Bullish,30 Mar 2017,05 Apr 2017
1285,Bearish,05 Apr 2017,24 Apr 2017
1286,Bullish,24 Apr 2017,09 May 2017
1287,No Trend,09 May 2017,10 May 2017
1288,Bullish,10 May 2017,17 May 2017
1289,Bearish,17 May 2017,23 May 2017
1290,Bullish,23 May 2017,07 Jun 2017
1291,No Trend,07 Jun 2017,12 Jun 2017
1292,Bullish,12 Jun 2017,27 Jun 2017
1293,Bearish,27 Jun 2017,12 Jul 2017
1294,Bullish,12 Jul 2017,26 Jul 2017
1295,No Trend,26 Jul 2017,01 Aug 2017
1296,Bullish,01 Aug 2017,10 Aug 2017
1297,Bearish,10 Aug 2017,30 Aug 2017
1298,Bullish,30 Aug 2017,28 Sep 2017
1299,No Trend,28 Sep 2017,29 Sep 2017
1300,Bullish,29 Sep 2017,04 Oct 2017
1301,No Trend,04 Oct 2017,06 Oct 2017
1302,Bullish,06 Oct 2017,11 Oct 2017
1303,No Trend,11 Oct 2017,12 Oct 2017
1304,Bullish,12 Oct 2017,13 Oct 2017
1305,No Trend,13 Oct 2017,23 Oct 2017
1306,Bullish,23 Oct 2017,15 Nov 2017
1307,Bearish,15 Nov 2017,21 Nov 2017
1308,Bullish,21 Nov 2017,08 Dec 2017
1309,No Trend,08 Dec 2017,12 Dec 2017
1310,Bullish,12 Dec 2017,13 Dec 2017
1311,No Trend,13 Dec 2017,14 Dec 2017
1312,Bullish,14 Dec 2017,05 Jan 2018
1313,No Trend,05 Jan 2018,08 Jan 2018
1314,Bullish,08 Jan 2018,11 Jan 2018
1315,No Trend,11 Jan 2018,29 Jan 2018
1316,Bullish,29 Jan 2018,02 Feb 2018
1317,Bearish,02 Feb 2018,16 Feb 2018
1318,Bullish,16 Feb 2018,01 Mar 2018
1319,Bearish,01 Mar 2018,06 Mar 2018
1320,Bullish,06 Mar 2018,19 Mar 2018
1321,Bearish,19 Mar 2018,12 Apr 2018
1322,Bullish,12 Apr 2018,24 Apr 2018
1323,Bearish,24 Apr 2018,07 May 2018
1324,Bullish,07 May 2018,29 May 2018
1325,Bearish,29 May 2018,30 May 2018
1326,Bullish,30 May 2018,31 May 2018
1327,Bearish,31 May 2018,01 Jun 2018
1328,Bullish,01 Jun 2018,21 Jun 2018
1329,Bearish,21 Jun 2018,06 Jul 2018
1330,Bullish,06 Jul 2018,18 Jul 2018
1331,No Trend,18 Jul 2018,19 Jul 2018
1332,Bullish,19 Jul 2018,15 Aug 2018
1333,Bearish,15 Aug 2018,16 Aug 2018
1334,Bullish,16 Aug 2018,10 Sep 2018
1335,Bearish,10 Sep 2018,11 Sep 2018
1336,Bullish,11 Sep 2018,05 Oct 2018
1337,Bearish,05 Oct 2018,10 Oct 2018
1338,No Trend,10 Oct 2018,12 Oct 2018
1339,Bearish,12 Oct 2018,05 Nov 2018
1340,Bullish,05 Nov 2018,13 Nov 2018
1341,Bearish,13 Nov 2018,29 Nov 2018
1342,Bullish,29 Nov 2018,07 Dec 2018
1343,Bearish,07 Dec 2018,19 Dec 2018
1344,No Trend,19 Dec 2018,26 Dec 2018
1345,Bearish,26 Dec 2018,07 Jan 2019
1346,Bullish,07 Jan 2019,15 Jan 2019
1347,No Trend,15 Jan 2019,16 Jan 2019
1348,Bullish,16 Jan 2019,24 Jan 2019
1349,No Trend,24 Jan 2019,25 Jan 2019
1350,Bullish,25 Jan 2019,15 Feb 2019
1351,No Trend,15 Feb 2019,20 Feb 2019
1352,Bullish,20 Feb 2019,01 Mar 2019
1353,No Trend,01 Mar 2019,04 Mar 2019
1354,Bullish,04 Mar 2019,07 Mar 2019
1355,Bearish,07 Mar 2019,12 Mar 2019
1356,Bullish,12 Mar 2019,12 Apr 2019
1357,No Trend,12 Apr 2019,15 Apr 2019
1358,Bullish,15 Apr 2019,16 Apr 2019
1359,No Trend,16 Apr 2019,18 Apr 2019
1360,Bullish,18 Apr 2019,30 Apr 2019
1361,No Trend,30 Apr 2019,01 May 2019
1362,Bullish,01 May 2019,07 May 2019
1363,Bearish,07 May 2019,06 Jun 2019
1364,Bullish,06 Jun 2019,20 Jun 2019
1365,No Trend,20 Jun 2019,25 Jun 2019
1366,Bullish,25 Jun 2019,01 Aug 2019
1367,Bearish,01 Aug 2019,21 Aug 2019
1368,Bullish,21 Aug 2019,23 Aug 2019
1369,Bearish,23 Aug 2019,29 Aug 2019
1370,Bullish,29 Aug 2019,13 Sep 2019
1371,No Trend,13 Sep 2019,16 Sep 2019
1372,Bullish,16 Sep 2019,17 Sep 2019
1373,No Trend,17 Sep 2019,19 Sep 2019
1374,Bullish,19 Sep 2019,23 Sep 2019
1375,No Trend,23 Sep 2019,24 Sep 2019
1376,Bullish,24 Sep 2019,25 Sep 2019
1377,Bearish,25 Sep 2019,11 Oct 2019
1378,Bullish,11 Oct 2019,28 Oct 2019
1379,No Trend,28 Oct 2019,31 Oct 2019
1380,Bullish,31 Oct 2019,07 Nov 2019
1381,No Trend,07 Nov 2019,21 Nov 2019
1382,Bullish,21 Nov 2019,03 Dec 2019
1383,Bearish,03 Dec 2019,06 Dec 2019
1384,Bullish,06 Dec 2019,20 Dec 2019
1385,No Trend,20 Dec 2019,03 Jan 2020
1386,Bullish,03 Jan 2020,27 Jan 2020
1387,Bearish,27 Jan 2020,05 Feb 2020
1388,Bullish,05 Feb 2020,24 Feb 2020
1389,Bearish,24 Feb 2020,27 Feb 2020
1390,No Trend,27 Feb 2020,02 Mar 2020
1391,Bearish,02 Mar 2020,30 Mar 2020
1392,Bullish,30 Mar 2020,01 Apr 2020
1393,Bearish,01 Apr 2020,06 Apr 2020
1394,Bullish,06 Apr 2020,13 May 2020
1395,Bearish,13 May 2020,18 May 2020
1396,Bullish,18 May 2020,03 Jun 2020
1397,No Trend,03 Jun 2020,10 Jun 2020
1398,Bullish,10 Jun 2020,12 Jun 2020
1399,Bearish,12 Jun 2020,16 Jun 2020
1400,Bullish,16 Jun 2020,24 Jun 2020
1401,Bearish,24 Jun 2020,01 Jul 2020
1402,Bullish,01 Jul 2020,17 Aug 2020
1403,No Trend,17 Aug 2020,18 Aug 2020
1404,Bullish,18 Aug 2020,31 Aug 2020
1405,No Trend,31 Aug 2020,03 Sep 2020
1406,Bullish,03 Sep 2020,08 Sep 2020
1407,Bearish,08 Sep 2020,30 Sep 2020
1408,Bullish,30 Sep 2020,26 Oct 2020
1409,Bearish,26 Oct 2020,30 Oct 2020
1410,No Trend,30 Oct 2020,02 Nov 2020
1411,Bearish,02 Nov 2020,05 Nov 2020
1412,Bullish,05 Nov 2020,17 Nov 2020
1413,No Trend,17 Nov 2020,18 Nov 2020
1414,Bullish,18 Nov 2020,19 Nov 2020
1415,No Trend,19 Nov 2020,20 Nov 2020
1416,Bullish,20 Nov 2020,28 Jan 2021
1417,Bearish,28 Jan 2021,03 Feb 2021
1418,Bullish,03 Feb 2021,19 Feb 2021
1419,No Trend,19 Feb 2021,22 Feb 2021
1420,Bullish,22 Feb 2021,23 Feb 2021
1421,Bearish,23 Feb 2021,24 Feb 2021
1422,Bullish,24 Feb 2021,25 Feb 2021
1423,Bearish,25 Feb 2021,10 Mar 2021
1424,Bullish,10 Mar 2021,24 Mar 2021
1425,Bearish,24 Mar 2021,26 Mar 2021
1426,Bullish,26 Mar 2021,09 Apr 2021
1427,No Trend,09 Apr 2021,12 Apr 2021
1428,Bullish,12 Apr 2021,13 Apr 2021
1429,No Trend,13 Apr 2021,20 Apr 2021
1430,Bullish,20 Apr 2021,12 May 2021
1431,Bearish,12 May 2021,24 May 2021
1432,Bullish,24 May 2021,18 Jun 2021
1433,Bearish,18 Jun 2021,22 Jun 2021
1434,Bullish,22 Jun 2021,09 Jul 2021
1435,No Trend,09 Jul 2021,13 Jul 2021
1436,Bullish,13 Jul 2021,19 Jul 2021
1437,Bearish,19 Jul 2021,21 Jul 2021
1438,Bullish,21 Jul 2021,19 Aug 2021
1439,Bearish,19 Aug 2021,23 Aug 2021
1440,Bullish,23 Aug 2021,10 Sep 2021
1441,Bearish,10 Sep 2021,14 Oct 2021
1442,Bullish,14 Oct 2021,22 Oct 2021
1443,No Trend,22 Oct 2021,27 Oct 2021
1444,Bullish,27 Oct 2021,29 Oct 2021
1445,No Trend,29 Oct 2021,10 Nov 2021
1446,Bullish,10 Nov 2021,26 Nov 2021
1447,Bearish,26 Nov 2021,08 Dec 2021
1448,Bullish,08 Dec 2021,20 Dec 2021
1449,Bearish,20 Dec 2021,22 Dec 2021
1450,Bullish,22 Dec 2021,06 Jan 2022
1451,Bearish,06 Jan 2022,20 Jan 2022
1452,No Trend,20 Jan 2022,28 Jan 2022
1453,Bearish,28 Jan 2022,02 Feb 2022
1454,Bullish,02 Feb 2022,11 Feb 2022
1455,Bearish,11 Feb 2022,16 Mar 2022
1456,Bullish,16 Mar 2022,07 Apr 2022
1457,Bearish,07 Apr 2022,27 May 2022
1458,Bullish,27 May 2022,10 Jun 2022
1459,Bearish,10 Jun 2022,27 Jun 2022
1460,Bullish,27 Jun 2022,28 Jun 2022
1461,Bearish,28 Jun 2022,06 Jul 2022
1462,Bullish,06 Jul 2022,13 Jul 2022
1463,Bearish,13 Jul 2022,19 Jul 2022
1464,Bullish,19 Jul 2022,15 Aug 2022
1465,No Trend,15 Aug 2022,17 Aug 2022
1466,Bullish,17 Aug 2022,23 Aug 2022
1467,Bearish,23 Aug 2022,02 Sep 2022
1468,No Trend,02 Sep 2022,07 Sep 2022
1469,Bearish,07 Sep 2022,12 Sep 2022
1470,Bullish,12 Sep 2022,13 Sep 2022
1471,Bearish,13 Sep 2022,30 Sep 2022
1472,No Trend,30 Sep 2022,03 Oct 2022
1473,Bearish,03 Oct 2022,18 Oct 2022
1474,Bullish,18 Oct 2022,03 Nov 2022
1475,Bearish,03 Nov 2022,07 Nov 2022
1476,Bullish,07 Nov 2022,09 Nov 2022
1477,Bearish,09 Nov 2022,10 Nov 2022
1478,Bullish,10 Nov 2022,07 Dec 2022
1479,Bearish,07 Dec 2022,13 Dec 2022
1480,Bullish,13 Dec 2022,15 Dec 2022
1481,Bearish,15 Dec 2022,06 Jan 2023
1482,Bullish,06 Jan 2023,17 Feb 2023
1483,Bearish,17 Feb 2023,21 Mar 2023
1484,Bullish,21 Mar 2023,13 Apr 2023
1485,No Trend,13 Apr 2023,14 Apr 2023
1486,Bullish,14 Apr 2023,18 Apr 2023
1487,No Trend,18 Apr 2023,19 Apr 2023
1488,Bullish,19 Apr 2023,25 Apr 2023
1489,Bearish,25 Apr 2023,28 Apr 2023
1490,Bullish,28 Apr 2023,03 May 2023
1491,Bearish,03 May 2023,08 May 2023
1492,Bullish,08 May 2023,16 May 2023
1493,Bearish,16 May 2023,17 May 2023
1494,Bullish,17 May 2023,14 Jun 2023
1495,No Trend,14 Jun 2023,20 Jun 2023
1496,Bullish,20 Jun 2023,17 Jul 2023
1497,No Trend,17 Jul 2023,18 Jul 2023
1498,Bullish,18 Jul 2023,19 Jul 2023
1499,No Trend,19 Jul 2023,20 Jul 2023
1500,Bullish,20 Jul 2023,26 Jul 2023
1501,No Trend,26 Jul 2023,27 Jul 2023
1502,Bullish,27 Jul 2023,03 Aug 2023
1503,Bearish,03 Aug 2023,18 Aug 2023
1504,No Trend,18 Aug 2023,21 Aug 2023
1505,Bearish,21 Aug 2023,29 Aug 2023
1506,Bullish,29 Aug 2023,18 Sep 2023
1507,Bearish,18 Sep 2023,10 Oct 2023
1508,Bullish,10 Oct 2023,19 Oct 2023
1509,Bearish,19 Oct 2023,02 Nov 2023
1510,Bullish,02 Nov 2023,15 Nov 2023
1511,No Trend,15 Nov 2023,29 Nov 2023
1512,Bullish,29 Nov 2023,30 Nov 2023
1513,No Trend,30 Nov 2023,05 Dec 2023
1514,Bullish,05 Dec 2023,15 Dec 2023
1515,No Trend,15 Dec 2023,20 Dec 2023
1516,Bullish,20 Dec 2023,27 Dec 2023
1517,No Trend,27 Dec 2023,28 Dec 2023
1518,Bullish,28 Dec 2023,04 Jan 2024
1519,Bearish,04 Jan 2024,08 Jan 2024
1520,Bullish,08 Jan 2024,25 Jan 2024
1521,No Trend,25 Jan 2024,29 Jan 2024
1522,Bullish,29 Jan 2024,30 Jan 2024
1523,No Trend,30 Jan 2024,31 Jan 2024
1524,Bullish,31 Jan 2024,04 Apr 2024
1525,Bearish,04 Apr 2024,29 Apr 2024
1526,Bullish,29 Apr 2024,30 Apr 2024
1527,Bearish,30 Apr 2024,03 May 2024
1528,Bullish,03 May 2024,20 May 2024
1529,No Trend,20 May 2024,23 May 2024
1530,Bullish,23 May 2024,30 May 2024
1531,Bearish,30 May 2024,31 May 2024
1532,Bullish,31 May 2024,18 Jun 2024
1533,No Trend,18 Jun 2024,26 Jun 2024
1534,Bullish,26 Jun 2024,19 Jul 2024
1535,Bearish,19 Jul 2024,14 Aug 2024
1536,Bullish,14 Aug 2024,23 Aug 2024
1537,No Trend,23 Aug 2024,28 Aug 2024
1538,Bullish,28 Aug 2024,04 Sep 2024
